id    , name     , moneda      , estado    , producto                                                                                                                             , cantidad   , precio_unitario
"525" , "PO00525", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Pulsador Manual CM702-ERD CAMDEN"                                                                                              , "8.0"      , "35.0"
""    , ""       , ""          , ""        , "  └─ Botón tipo hongo de metal verde - ENFORCER"                                                                                    , "1.0"      , "11.68"
"523" , "PO00523", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ CONVERSOR DE MEDIOS GIGABIT ETHERNET - TP-LINK"                                                                                , "7.0"      , "96508.0"
"522" , "PO00522", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ PLACA MADRE ASUS PRIME LGA1200"                                                                                                , "1.0"      , "137.2"
""    , ""       , ""          , ""        , "  └─ PROCESADOR CI7 2 50/16M"                                                                                                       , "1.0"      , "441.0"
""    , ""       , ""          , ""        , "  └─ MEMORIA RAM 16GB"                                                                                                              , "2.0"      , "97.71"
""    , ""       , ""          , ""        , "  └─ FUENTE TIPO PC 700W"                                                                                                           , "1.0"      , "93.0"
"520" , "PO00520", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Detector de Hidrógeno para Panel de Incendio - MARCURCO"                                                                       , "1.0"      , "239.24"
"519" , "PO00519", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Cinta metrica con logo Dahua"                                                                                                  , "20.0"     , "0.66"
""    , ""       , ""          , ""        , "  └─ Remera tipo polo color negro tamaño M - TEKO"                                                                                  , "10.0"     , "5.52"
""    , ""       , ""          , ""        , "  └─ Remera tipo polo color negro tamaño XL - TEKO"                                                                                 , "10.0"     , "5.53"
""    , ""       , ""          , ""        , "  └─ Remera tipo polo color negro tamaño XXL - TEKO"                                                                                , "10.0"     , "5.62"
""    , ""       , ""          , ""        , "  └─ Remera tipo polo color negro tamaño XXXL - Teko"                                                                               , "10.0"     , "5.56"
""    , ""       , ""          , ""        , "  └─ Video tester"                                                                                                                  , "10.0"     , "60.0"
""    , ""       , ""          , ""        , "  └─ Ventiladores de mano a USB"                                                                                                    , "20.0"     , "3.0"
""    , ""       , ""          , ""        , "  └─ Bolso de TNT Blanco con logo Dahua"                                                                                            , "50.0"     , "0.32"
""    , ""       , ""          , ""        , "  └─ Llavero colgante con logo Dahua"                                                                                               , "100.0"    , "0.47"
""    , ""       , ""          , ""        , "  └─ Gorro con logo Dahua color negro"                                                                                              , "50.0"     , "1.67"
""    , ""       , ""          , ""        , "  └─ IP Villa Door Station & Indoor Monitor"                                                                                        , "50.0"     , "122.0"
""    , ""       , ""          , ""        , "  └─ Kit de videoportero analógico  Frente de calle de 1.3MP"                                                                       , "30.0"     , "48.0"
""    , ""       , ""          , ""        , "  └─ Switch PoE de 24 puertos"                                                                                                      , "10.0"     , "125.0"
""    , ""       , ""          , ""        , "  └─ Switch PoE 8 puertos no administrable econ"                                                                                    , "20.0"     , "25.0"
""    , ""       , ""          , ""        , "  └─ Switch PoE de 8 puertos"                                                                                                       , "30.0"     , "33.0"
""    , ""       , ""          , ""        , "  └─ Switch PoE de 16 puertos"                                                                                                      , "20.0"     , "106.0"
""    , ""       , ""          , ""        , "  └─ Placa empotrable para facial - Dahua"                                                                                          , "1.0"      , "15.0"
""    , ""       , ""          , ""        , "  └─ Frente de calle para departamentos con reconocimiento facial. Hasta 200 monitores"                                             , "1.0"      , "158.0"
""    , ""       , ""          , ""        , "  └─ Monitor IP 7` sin wifi"                                                                                                        , "20.0"     , "65.0"
""    , ""       , ""          , ""        , "  └─ Monitor analógico 7`"                                                                                                          , "10.0"     , "35.0"
""    , ""       , ""          , ""        , "  └─ Fuente para exterior 220 input 12V/2A output"                                                                                  , "100.0"    , "2.8"
""    , ""       , ""          , ""        , "  └─ Cinta adhesiva con logo Dahua"                                                                                                 , "100.0"    , "0.44"
""    , ""       , ""          , ""        , "  └─ Destornillador simple con logo Dahua"                                                                                          , "50.0"     , "0.32"
""    , ""       , ""          , ""        , "  └─ Chaleco para herramientas con logo dahua"                                                                                      , "5.0"      , "9.43"
""    , ""       , ""          , ""        , "  └─ Mouse con logo Dahua"                                                                                                          , "10.0"     , "5.97"
""    , ""       , ""          , ""        , "  └─ Juego de cables universales Dahua"                                                                                             , "20.0"     , "1.57"
""    , ""       , ""          , ""        , "  └─ Bullet WIFI Imou de 2MP"                                                                                                       , "100.0"    , "25.0"
""    , ""       , ""          , ""        , "  └─ Bullet WIFI Imou de 2MP con sirena y altavoz"                                                                                  , "50.0"     , "43.0"
""    , ""       , ""          , ""        , "  └─ Cámara IP WIFI para exterior Imou"                                                                                             , "100.0"    , "29.0"
""    , ""       , ""          , ""        , "  └─ Boligrafo con logo Dahua"                                                                                                      , "110.0"    , "0.18"
""    , ""       , ""          , ""        , "  └─ Boligrafo con logo Dahua color negro"                                                                                          , "100.0"    , "0.22"
""    , ""       , ""          , ""        , "  └─ Soporte de pared para cámaras (domo  bullet  turret)"                                                                          , "600.0"    , "1.0"
""    , ""       , ""          , ""        , "  └─ Porta celular para vehiculo"                                                                                                   , "10.0"     , "1.55"
""    , ""       , ""          , ""        , "  └─ Soporte para celular para vehiculo con cargador"                                                                               , "10.0"     , "4.56"
""    , ""       , ""          , ""        , "  └─ Caja Luminosa con logo IMOU"                                                                                                   , "2.0"      , "20.13"
""    , ""       , ""          , ""        , "  └─ Cartel luminoso 1.3.02.17.00050"                                                                                               , "4.0"      , "23.11"
""    , ""       , ""          , ""        , "  └─ Domo PTZ IP  de 8MP 25x WizSense"                                                                                              , "2.0"      , "504.0"
""    , ""       , ""          , ""        , "  └─ Domo PTZ HDCVI 1080p 25x"                                                                                                      , "20.0"     , "147.0"
""    , ""       , ""          , ""        , "  └─ Domo PTZ IP de 4MP WizSense 25x"                                                                                               , "2.0"      , "240.0"
""    , ""       , ""          , ""        , "  └─ Mini PTZ IP 4x wifi 2MP"                                                                                                       , "4.0"      , "79.0"
""    , ""       , ""          , ""        , "  └─ Domo PTZ IP de 2MP 25x PoE"                                                                                                    , "20.0"     , "212.0"
""    , ""       , ""          , ""        , "  └─ Grabador Digital compacto 1U Penta-brid 1080N / 720P de 16 canales - DAHUA"                                                    , "500.0"    , "53.0"
""    , ""       , ""          , ""        , "  └─ XVR de 4 canales 720p/1080p Lite. WizSense. Serie Cooper"                                                                      , "400.0"    , "21.9"
""    , ""       , ""          , ""        , "  └─ XVR de 8 canales 5MP Lite. WizSense"                                                                                           , "20.0"     , "59.0"
""    , ""       , ""          , ""        , "  └─ XVR de 8 canales 720p/1080p Lite. WizSense. Serie Cooper"                                                                      , "900.0"    , "26.4"
""    , ""       , ""          , ""        , "  └─ XVR de 16ch 5MP"                                                                                                               , "80.0"     , "89.0"
""    , ""       , ""          , ""        , "  └─ NVR 64ch para 4 HDD Smart 2.0"                                                                                                 , "2.0"      , "343.0"
""    , ""       , ""          , ""        , "  └─ NVR 4K de 8 canales con 8 puertos PoE"                                                                                         , "5.0"      , "88.0"
""    , ""       , ""          , ""        , "  └─ NVR de 4ch PoE S3"                                                                                                             , "5.0"      , "46.0"
""    , ""       , ""          , ""        , "  └─ NVR de 8 canales con PoE S3"                                                                                                   , "20.0"     , "65.0"
""    , ""       , ""          , ""        , "  └─ NVR de 32 canales 2HDD 4K Lite"                                                                                                , "5.0"      , "110.0"
""    , ""       , ""          , ""        , "  └─ Grabador IP DAHUA de 64 Canales - 320Mbps"                                                                                     , "5.0"      , "410.0"
""    , ""       , ""          , ""        , "  └─ Grabador de vídeo en red compacto 1U 4PoE 4K y H.265 Lite de 4/8 canales"                                                      , "2.0"      , "49.0"
""    , ""       , ""          , ""        , "  └─ NVR de 4ch PoE S3"                                                                                                             , "5.0"      , "46.0"
""    , ""       , ""          , ""        , "  └─ NVR de 16ch compacto Wizsense"                                                                                                 , "8.0"      , "55.0"
""    , ""       , ""          , ""        , "  └─ NVR de 16ch compacto Wizsense"                                                                                                 , "6.0"      , "55.0"
""    , ""       , ""          , ""        , "  └─ Grabador de vídeo en red compacto 1U 4PoE 4K y H.265 Lite de 4/8 canales"                                                      , "2.0"      , "49.0"
""    , ""       , ""          , ""        , "  └─ Domo Cooper HDCVI de 5MP 2.8mm"                                                                                                , "60.0"     , "14.0"
""    , ""       , ""          , ""        , "  └─ Bullet Cooper 2.8mm IR 20 mts con switch"                                                                                      , "2000.0"   , "7.9"
""    , ""       , ""          , ""        , "  └─ Domo HDCVI Full Color de 2MP con micrófono incorporado"                                                                        , "100.0"    , "15.0"
""    , ""       , ""          , ""        , "  └─ Bullet HDCVI 1080p Full Color 2.8mm"                                                                                           , "800.0"    , "13.0"
""    , ""       , ""          , ""        , "  └─ Domo IP de 2MP PoE 2.8mm"                                                                                                      , "250.0"    , "25.0"
""    , ""       , ""          , ""        , "  └─ Bullet HDCVI 1080p IR 30 mts para interior"                                                                                    , "20.0"     , "16.0"
""    , ""       , ""          , ""        , "  └─ Bullet IP ANPR de 2MP Varifocal Motorizado"                                                                                    , "2.0"      , "349.0"
""    , ""       , ""          , ""        , "  └─ Bullet 8MP 2.8MM"                                                                                                              , "40.0"     , "28.0"
""    , ""       , ""          , ""        , "  └─ Bullet HDCVI de 5MP Full Color con disuasión activa"                                                                           , "50.0"     , "30.0"
""    , ""       , ""          , ""        , "  └─ Cámara Ojo de Pez IP de 5MP. WizMind. Infrarrojo hasta 10 metros. Mapa de calor  Ranura para microSD. Entrada de audio/alarma.", "5.0"      , "92.0"
""    , ""       , ""          , ""        , "  └─ Bullet HDCVI de 5MP Full Color con disuasión activa"                                                                           , "40.0"     , "30.0"
""    , ""       , ""          , ""        , "  └─ Bullet IP 2 MP Varifocal motorizado PoE"                                                                                       , "100.0"    , "53.0"
""    , ""       , ""          , ""        , "  └─ Bullet IP Full Color de 2MP. Alcance 15mts. PoE"                                                                               , "80.0"     , "26.0"
""    , ""       , ""          , ""        , "  └─ Bullet IP de 5MP IR 30mts PoE"                                                                                                 , "40.0"     , "38.0"
""    , ""       , ""          , ""        , "  └─ Domo IP de 5MP IR 30mts PoE"                                                                                                   , "20.0"     , "38.0"
""    , ""       , ""          , ""        , "  └─ Bullet HDCVI de 2MP IR 80 metros con micrófono"                                                                                , "300.0"    , "15.0"
""    , ""       , ""          , ""        , "  └─ Bullet HDCVI de 2MP IR 40 mts"                                                                                                 , "100.0"    , "13.0"
""    , ""       , ""          , ""        , "  └─ Bullet HDCVI Full Color 1080p con micrófono incorporado"                                                                       , "100.0"    , "15.0"
""    , ""       , ""          , ""        , "  └─ Bullet Cooper 1080p 2.8mm IR 20 mts con switch"                                                                                , "2000.0"   , "10.1"
""    , ""       , ""          , ""        , "  └─ Domo IP de 2MP PoE 2.8mm"                                                                                                      , "300.0"    , "28.0"
""    , ""       , ""          , ""        , "  └─ Bullet IP de 5MP IR 30mts PoE"                                                                                                 , "60.0"     , "38.0"
""    , ""       , ""          , ""        , "  └─ Domo IP de 5MP IR 30mts PoE"                                                                                                   , "40.0"     , "38.0"
""    , ""       , ""          , ""        , "  └─ Bullet IP de 2MP 2.8mm S5"                                                                                                     , "200.0"    , "28.0"
""    , ""       , ""          , ""        , "  └─ Bullet IP de 4MP Varifocal motorizado"                                                                                         , "10.0"     , "83.0"
""    , ""       , ""          , ""        , "  └─ Bullet 8MP 2.8MM"                                                                                                              , "60.0"     , "30.0"
""    , ""       , ""          , ""        , "  └─ Domo 4K HDCVI"                                                                                                                 , "40.0"     , "26.0"
""    , ""       , ""          , ""        , "  └─ Bullet HDCVI de 5MP. IR hasta 20 metros."                                                                                      , "100.0"    , "15.0"
""    , ""       , ""          , ""        , "  └─ Mini domo HDCVI 1080p 2.8mm"                                                                                                   , "800.0"    , "9.6"
""    , ""       , ""          , ""        , "  └─ Cámara oculta HDCVI 1080p"                                                                                                     , "10.0"     , "28.0"
""    , ""       , ""          , ""        , "  └─ Bullet HDCVI de 2MP IR 40 mts"                                                                                                 , "300.0"    , "13.0"
""    , ""       , ""          , ""        , "  └─ Bullet HDCVI de 2MP IR 80 metros con micrófono"                                                                                , "400.0"    , "15.0"
""    , ""       , ""          , ""        , "  └─ Domo HDCVI 1080p con micrófono incorporado"                                                                                    , "300.0"    , "13.0"
""    , ""       , ""          , ""        , "  └─ Bullet HDCVI 1080p Full Color 2.8mm"                                                                                           , "200.0"    , "13.0"
""    , ""       , ""          , ""        , "  └─ Domo HDCVI de 8MP"                                                                                                             , "20.0"     , "27.0"
""    , ""       , ""          , ""        , "  └─ Bullet IP Térmica de 4MP PoE"                                                                                                  , "1.0"      , "394.0"
""    , ""       , ""          , ""        , "  └─ Bullet HDCVI de 5MP IR 40 metros"                                                                                              , "80.0"     , "20.0"
""    , ""       , ""          , ""        , "  └─ Cámara Bullet Starlight HDCVI a todo color de 5MP"                                                                             , "50.0"     , "25.0"
""    , ""       , ""          , ""        , "  └─ Cámara contadora de personas de 3MP IP"                                                                                        , "1.0"      , "375.0"
""    , ""       , ""          , ""        , "  └─ Bullet IP de 2MP 2.8mm S5"                                                                                                     , "80.0"     , "25.0"
""    , ""       , ""          , ""        , "  └─ Bullet Cooper 1080p 2.8mm IR 20 mts con switch"                                                                                , "1500.0"   , "10.1"
""    , ""       , ""          , ""        , "  └─ Bullet Cooper 2.8mm IR 20 mts con switch"                                                                                      , "2000.0"   , "7.9"
""    , ""       , ""          , ""        , "  └─ Domo IP de 8MP"                                                                                                                , "40.0"     , "63.0"
""    , ""       , ""          , ""        , "  └─ Kit de cámara Imou 2MP estación de base IP65"                                                                                  , "10.0"     , "100.0"
""    , ""       , ""          , ""        , "  └─ Domo HDCVI 1080p con micrófono incorporado"                                                                                    , "200.0"    , "13.0"
""    , ""       , ""          , ""        , "  └─ Domo Cooper 2.8 mm IR 20 mts con switch"                                                                                       , "500.0"    , "6.9"
""    , ""       , ""          , ""        , "  └─ Bullet Full Color 1080p HDCVI"                                                                                                 , "40.0"     , "20.0"
""    , ""       , ""          , ""        , "  └─ Domo HDCVI de 5MP con micrófono"                                                                                               , "60.0"     , "20.0"
""    , ""       , ""          , ""        , "  └─ Bullet HDCVI de 5MP IR 40 metros"                                                                                              , "40.0"     , "20.0"
""    , ""       , ""          , ""        , "  └─ Bullet HDCVI de 5MP con micrófono incorporado"                                                                                 , "20.0"     , "18.0"
""    , ""       , ""          , ""        , "  └─ Domo HDCVI de 5MP con micrófono"                                                                                               , "30.0"     , "20.0"
"517" , "PO00517", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Cable de alarma 4 vías"                                                                                                        , "16.0"     , "8.83"
"513" , "PO00513", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Tarjetas de control para paneles 4010ES"                                                                                       , "1.0"      , "513.32"
""    , ""       , ""          , ""        , "  └─ SSD Sensor Base SIMPLEX IDNET"                                                                                                 , "606.0"    , "16.236"
""    , ""       , ""          , ""        , "  └─ Alarma audiovisual SIMPLEX"                                                                                                    , "118.0"    , "31.464"
""    , ""       , ""          , ""        , "  └─ Modulo Detector ZAM. SIMPLEX"                                                                                                  , "46.0"     , "27.1761"
""    , ""       , ""          , ""        , "  └─ Tarjeta de Sistema Principal IDNET"                                                                                            , "3.0"      , "428.0833"
""    , ""       , ""          , ""        , "  └─ Placa madre cpu RUI"                                                                                                           , "2.0"      , "121.455"
""    , ""       , ""          , ""        , "  └─ Anunciador Remoto SIMPLEX p/ 4010ES"                                                                                           , "6.0"      , "231.12"
""    , ""       , ""          , ""        , "  └─ Tarjeta Fuente de Energia SIMPLEX"                                                                                             , "1.0"      , "278.86"
""    , ""       , ""          , ""        , "  └─ Suministro extendido con IDENET"                                                                                               , "2.0"      , "428.085"
""    , ""       , ""          , ""        , "  └─ Sensor de temperatura Direccionado TV IDNET "                                                                                  , "153.0"    , "10.784"
""    , ""       , ""          , ""        , "  └─ Sensor de fotos analógico Humo/Calor SIMPLEX IDNET"                                                                            , "796.0"    , "20.724"
""    , ""       , ""          , ""        , "  └─ Pulsador manual doble accion SIMPLEX"                                                                                          , "126.0"    , "28.308"
""    , ""       , ""          , ""        , "  └─ Teclado remoto LCD SIMPLEX"                                                                                                    , "1.0"      , "236.48"
""    , ""       , ""          , ""        , "  └─ Panel Simplex 4010ES"                                                                                                          , "10.0"     , "1368.652"
"512" , "PO00512", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Detector humo calor de 2 hilos con UL"                                                                                         , "1000.0"   , "6.9"
""    , ""       , ""          , ""        , "  └─ Detector termovelocimétrico de 2 hilos "                                                                                       , "300.0"    , "5.3"
""    , ""       , ""          , ""        , "  └─ Detector de Humo Calor de 4 hilos sin UL"                                                                                      , "1000.0"   , "6.2"
""    , ""       , ""          , ""        , "  └─ Detector de Humo Calor con UL SV"                                                                                              , "1000.0"   , "8.2"
""    , ""       , ""          , ""        , "  └─ Detector termovelocimétrico"                                                                                                   , "300.0"    , "5.9"
""    , ""       , ""          , ""        , "  └─ Contacto magnético de metal  NC  NO. Con soporte tipo L."                                                                      , "100.0"    , "5.05"
""    , ""       , ""          , ""        , "  └─ Contacto magnético de metal  NC"                                                                                               , "50.0"     , "2.22"
""    , ""       , ""          , ""        , "  └─ Detector de monóxido de carbono 4 hilos"                                                                                       , "100.0"    , "17.0"
""    , ""       , ""          , ""        , "  └─ Detector de gas 2 hilos"                                                                                                       , "100.0"    , "15.0"
""    , ""       , ""          , ""        , "  └─ Detector autónomo de gas natural/metano. 12-24 V"                                                                              , "100.0"    , "16.0"
"511" , "PO00511", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Pulsador manual Simple SECUTRON"                                                                                               , "400.0"    , "14.0"
"510" , "PO00510", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Monitor de 22` Philips"                                                                                                        , "1.0"      , "169.4"
"509" , "PO00509", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Cable de alarma 4 vías"                                                                                                        , "10.0"     , "8.83"
"508" , "PO00508", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Kit panel 18-32 zonas con teclado PK5501"                                                                                      , "20.0"     , "82.0"
""    , ""       , ""          , ""        , "  └─ Placa de alarma DSC 18-32 zonas"                                                                                               , "3.0"      , "55.0"
""    , ""       , ""          , ""        , "  └─ PLACA DE ALARMA DSC 8 - 64 ZONAS"                                                                                              , "3.0"      , "78.0"
""    , ""       , ""          , ""        , "  └─ Detector IR pet immune DSC"                                                                                                    , "36.0"     , "9.5"
""    , ""       , ""          , ""        , "  └─ SIRENA PARA EXTERIOR DE 20W DSC"                                                                                               , "10.0"     , "6.5"
""    , ""       , ""          , ""        , "  └─ Base de montaje para sensores PIR de la linea “LC”"                                                                            , "30.0"     , "1.8"
"506" , "PO00506", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Detector humo calor de 2 hilos con UL"                                                                                         , "1500.0"   , "6.9"
""    , ""       , ""          , ""        , "  └─ Detector de Humo Calor con UL SV"                                                                                              , "5500.0"   , "8.2"
""    , ""       , ""          , ""        , "  └─ Detector termovelocimétrico de 2 hilos "                                                                                       , "800.0"    , "5.3"
""    , ""       , ""          , ""        , "  └─ Detector de Humo Calor de 4 hilos sin UL"                                                                                      , "500.0"    , "6.2"
""    , ""       , ""          , ""        , "  └─ Detector termovelocimétrico"                                                                                                   , "1500.0"   , "5.9"
""    , ""       , ""          , ""        , "  └─ Detector termovelocimétrico 2 hilos económico"                                                                                 , "100.0"    , "4.1"
""    , ""       , ""          , ""        , "  └─ Detector de calor y humo óptico de 2 cables"                                                                                   , "500.0"    , "5.0"
""    , ""       , ""          , ""        , "  └─ Detector de Humo Calor SD218"                                                                                                  , "100.0"    , "4.5"
"505" , "PO00505", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ TARJETA DE MEMORIA MICRO SD 32GB"                                                                                              , "50.0"     , "4.13"
""    , ""       , ""          , ""        , "  └─ Micro SD 64GB"                                                                                                                 , "10.0"     , "6.71"
""    , ""       , ""          , ""        , "  └─ MicroSD de 128 Gb"                                                                                                             , "15.0"     , "14.2833"
"504" , "PO00504", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ DISCO DURO 1TB PURPEL WESTER DIGITAL"                                                                                          , "10.0"     , "50.05"
""    , ""       , ""          , ""        , "  └─ DISCO DURO 2TB PURPLE - WESTER DIGITAL"                                                                                        , "10.0"     , "64.79"
""    , ""       , ""          , ""        , "  └─ DISCO DURO 4TB PURPLE - WESTER DIGITAL"                                                                                        , "10.0"     , "114.95"
"503" , "PO00503", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ DESACTIVADOR ELECTRONICO AMB 2011 - SENSORMATIC"                                                                               , "80.0"     , "227.506"
""    , ""       , ""          , ""        , "  └─ Pedestal Secundario AMS1146 Ultra 1.5"                                                                                         , "4.0"      , "233.299"
""    , ""       , ""          , ""        , "  └─ Etiqueta Adhesiva AM DR SENSORMATIC"                                                                                           , "250000.0" , "0.0219"
""    , ""       , ""          , ""        , "  └─ Pedestal Primario AMS1146 Ultra 1.5"                                                                                           , "5.0"      , "434.834"
""    , ""       , ""          , ""        , "  └─ Pedestal UltraPost VI Secundario SENSORMATIC"                                                                                  , "15.0"     , "358.606"
""    , ""       , ""          , ""        , "  └─ Separador universal negro SENSORMATIC 5kgaus"                                                                                  , "65.0"     , "13.509"
""    , ""       , ""          , ""        , "  └─ Pedestal Ultra 1.8 Primario SENSORMATIC"                                                                                       , "14.0"     , "542.667"
""    , ""       , ""          , ""        , "  └─ Etiqueta adhesiva - PS1 - Sensormatic"                                                                                         , "1750000.0", "0.0121"
""    , ""       , ""          , ""        , "  └─ Pedestal Ultra 1.8 Secundario SENSORMATIC"                                                                                     , "8.0"      , "215.0687"
"501" , "PO00501", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Detector doble tecnologia pet immune & micro DSC"                                                                              , "15.0"     , "24.0"
""    , ""       , ""          , ""        , "  └─ Teclado LCD a iconos para 64 zonas DSC"                                                                                        , "5.0"      , "46.0"
""    , ""       , ""          , ""        , "  └─ Gabinete metalico P/PC 1832/1864 - DSC"                                                                                        , "12.0"     , "12.0"
""    , ""       , ""          , ""        , "  └─ Modulo expansor 8 zonas DSC"                                                                                                   , "10.0"     , "23.0"
""    , ""       , ""          , ""        , "  └─ RECEPTOR WIRELESS DSC"                                                                                                         , "2.0"      , "35.0"
""    , ""       , ""          , ""        , "  └─ Kit panel 4-8zonas con teclado DSC"                                                                                            , "10.0"     , "44.0"
"500" , "PO00500", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Detector PIR cableado TEKO"                                                                                                    , "300.0"    , "4.41"
""    , ""       , ""          , ""        , "  └─ Detector acústico de rotura de cristales - TEKO"                                                                               , "20.0"     , "4.19"
""    , ""       , ""          , ""        , "  └─ Detector de movimiento combinado Astra-621 - TEKO"                                                                             , "100.0"    , "10.8"
""    , ""       , ""          , ""        , "  └─ Botón pulsador Astra-322 - TEKO"                                                                                               , "50.0"     , "2.41"
""    , ""       , ""          , ""        , "  └─ Panel de control de seguridad e incendio -Astra-712/8  TEKO"                                                                   , "20.0"     , "36.54"
""    , ""       , ""          , ""        , "  └─ Alarma de luz de señalización Astra-10 Ver3 TEKO"                                                                              , "300.0"    , "3.54"
""    , ""       , ""          , ""        , "  └─ Sistema de Incendio  intrusión y control de temperatura inalámbrico - Teko"                                                    , "30.0"     , "47.31"
""    , ""       , ""          , ""        , "  └─ Kit controlador Smart Home -TEKO"                                                                                              , "100.0"    , "69.21"
""    , ""       , ""          , ""        , "  └─ Botón de pánico inalámbrico - TEKO"                                                                                            , "50.0"     , "13.83"
""    , ""       , ""          , ""        , "  └─ Detector antirrobo de punto de contacto magnético -ASTRA-3321 - TEKO"                                                          , "300.0"    , "13.97"
""    , ""       , ""          , ""        , "  └─ Detector antirrobo - Astra-5121 - TEKO"                                                                                        , "200.0"    , "19.56"
""    , ""       , ""          , ""        , "  └─ Detector de movimiento Astra-5131 version C"                                                                                   , "50.0"     , "19.56"
""    , ""       , ""          , ""        , "  └─ Detector de rotura de cristales Astra-6131"                                                                                    , "50.0"     , "22.35"
""    , ""       , ""          , ""        , "  └─ Detector de movimiento para techo inalámbrico - TEKO"                                                                          , "30.0"     , "20.95"
""    , ""       , ""          , ""        , "  └─ Teclado inalámbrico Astra-8121 - TEKO"                                                                                         , "100.0"    , "20.05"
""    , ""       , ""          , ""        , "  └─ Módulo de relé de potencia inalámbrico  5A  433 MHz - TEKO"                                                                    , "50.0"     , "18.33"
""    , ""       , ""          , ""        , "  └─ Mando a distancia inalámbrico  433 MHz  botón de pánico - TEKO"                                                                , "30.0"     , "11.45"
""    , ""       , ""          , ""        , "  └─ Dispositivo receptor  433 MHz - TEKO"                                                                                          , "10.0"     , "35.25"
""    , ""       , ""          , ""        , "  └─ Dispositivo transmisor  433 MHz"                                                                                               , "10.0"     , "36.35"
""    , ""       , ""          , ""        , "  └─ Consola de monitoreo centralizada - TEKO"                                                                                      , "10.0"     , "55.59"
""    , ""       , ""          , ""        , "  └─ Teclado numérico cableado TEKO"                                                                                                , "50.0"     , "17.56"
"499" , "PO00499", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Cerradura Electromagnetica 180kg ZUDSEC"                                                                                       , "300.0"    , "10.9"
""    , ""       , ""          , ""        , "  └─ Soporte en U para cerradura de 180kg ZUDSEC"                                                                                   , "150.0"    , "2.9"
""    , ""       , ""          , ""        , "  └─ Soporte en Z paara cerradura de 180kg ZUDSEC"                                                                                  , "100.0"    , "4.6"
