id    , name     , moneda      , estado    , producto                                                                                                                             , cantidad   , precio_unitario
""    , ""       , ""          , ""        , "  └─ CABLE DE DATOS 18/2 AWG MALLADO"                                                                                               , "50935.0"  , "0.4858"
""    , ""       , ""          , ""        , "  └─ Gastos de envio.-"                                                                                                             , "1.0"      , "45.0"
""    , ""       , ""          , ""        , "  └─ Ajuste de precio"                                                                                                              , "1.0"      , "0.198"
"1736", "PO01733", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ MODULO EXPANSOR DE 8 ZONAS CABLEADAS NEO"                                                                                      , "7.0"      , "32.0"
""    , ""       , ""          , ""        , "  └─ Humo test"                                                                                                                     , "10.0"     , "18.0"
"1734", "PO01731", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Impresora Multifunción Epson EcoTank L4260 3 en 1 - Negro"                                                                     , "1.0"      , "227.0"
""    , ""       , ""          , ""        , "  └─ Sin nombre"                                                                                                                    , "0.0"      , "0.0"
"1732", "PO01729", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Contacto Inalámbrico p/ puerta-ventana"                                                                                        , "1.0"      , "54.0"
"1730", "PO01727", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Detector de Humo Calor de 4 hilos sin UL"                                                                                      , "3500.0"   , "6.2"
""    , ""       , ""          , ""        , "  └─ Detector termovelocimétrico"                                                                                                   , "600.0"    , "5.9"
""    , ""       , ""          , ""        , "  └─ Detector de monóxido de carbono 4 hilos"                                                                                       , "50.0"     , "17.0"
""    , ""       , ""          , ""        , "  └─ Detector de Flama de 4 cables con salida de relé (12/24 VCC)"                                                                  , "5.0"      , "62.0"
""    , ""       , ""          , ""        , "  └─ Detector de humo convencional 2 Hilos - Sentek"                                                                                , "100.0"    , "6.6"
"1729", "PO01726", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Pulsador de alarma direccionable rearmable FC420CP-I FIRECLASS"                                                                , "160.0"    , "29.1"
""    , ""       , ""          , ""        , "  └─ Back Box for Callpoints SUS516W"                                                                                               , "150.0"    , "1.32"
""    , ""       , ""          , ""        , "  └─ FR2000 Espejo Para Barrera FireOne"                                                                                            , "40.0"     , "29.72"
""    , ""       , ""          , ""        , "  └─ Modulo de control de 2 entradas para FC500 FIRECLASS"                                                                          , "100.0"    , "31.24"
""    , ""       , ""          , ""        , "  └─ Panel direccionable FC501 para 128 puntos FIRECLASS"                                                                           , "4.0"      , "449.29"
""    , ""       , ""          , ""        , "  └─ Sirena de pared direccionable FC440AIR VID - Fireclass"                                                                        , "20.0"     , "87.1"
